top_words,topic
human problem present reason fact effect happen,0
relationship problem,1
women,2
research study inform effect positive,3
question ask job create inform business happen,4
happy positive reason present happen,5
power inspire positive create present step happen,6
advice step job inform problem inspire business,7
story inspire happen,8
emotion step effect positive,9
brain inform,10
habit step effect problem inform,11
success business job create,12
goal step success create,13
listen present ask advice,14
